N,n_bin,P,p_bin,K,k_bin,temperature,temp_bin,humidity,humidity_bin,pH,pH_bin,rainfall,rainfall_bin,label,,,,,Range,,,33 percentile,66 percentile,Categorical Bins (for NB),,
90,High,42,Medium,43,Medium,20.88,Low,82.00,Medium,6.50,Medium,202.94,High,rice,,,,,Min,,Max,1st threshold,2nd threshold,Low,Med,High
85,High,58,Medium,41,Medium,21.77,Low,80.32,Medium,7.04,High,226.66,High,rice,,,,Nitrogen (N),0,–,120,31.00,68.00,≤31,31 – 68,≥68
60,Medium,55,Medium,44,Medium,23.00,Low,82.32,Medium,7.84,High,263.96,High,rice,,,,Phosphorus (P),5,–,145,25.00,58.00,≤25,25 – 58,≥58
74,High,35,Medium,40,Medium,26.49,Medium,80.16,Low,6.98,High,242.86,High,rice,,,,Potassium (K),5,–,205.00,34.00,51.00,≤34,34 – 51,≥51
78,High,42,Medium,42,Medium,20.13,Low,81.60,Medium,7.63,High,262.72,High,rice,,,,,,,,,,,,
69,High,37,Medium,42,Medium,23.06,Low,83.37,Medium,7.07,High,251.05,High,rice,,,,Temperature (ºC),8.83,–,43.68,23.38,27.11,≤23.38,23.38 – 27.11,≥27.11
69,High,55,Medium,38,Medium,22.71,Low,82.64,Medium,5.70,Low,271.32,High,rice,,,,Humidity (%),14.26,–,99.98,80.18,90.72,≤80.18,80.18 – 90.72,≥90.72
94,High,53,Medium,40,Medium,20.28,Low,82.89,Medium,5.72,Low,241.97,High,rice,,,,pH,4.51,–,8.87,6.11,6.59,≤6.11,6.11 – 6.59,≥6.59
89,High,54,Medium,38,Medium,24.52,Medium,83.54,Medium,6.69,High,230.45,High,rice,,,,,,,,,,,,
68,Medium,58,Medium,38,Medium,23.22,Low,83.03,Medium,6.34,Medium,221.21,High,rice,,,,rainfall (in.),20.21,–,298.56,88.03,112.69,≤88.03,88.03 – 112.69,≥112.69
91,High,53,Medium,40,Medium,26.53,Medium,81.42,Medium,5.39,Low,264.61,High,rice,,,,,,,,,,,,
90,High,46,Medium,42,Medium,23.98,Medium,81.45,Medium,7.50,High,250.08,High,rice,,,,,,,,,,,,
78,High,58,Medium,44,Medium,26.80,Medium,80.89,Medium,5.11,Low,284.44,High,rice,,,,,,,,,,,,
93,High,56,Medium,36,Medium,24.01,Medium,82.06,Medium,6.98,High,185.28,High,rice,,,,,,,,,,,,
94,High,50,Medium,37,Medium,25.67,Medium,80.66,Medium,6.95,High,209.59,High,rice,,,,,,,,,,,,
60,Medium,48,Medium,39,Medium,24.28,Medium,80.30,Medium,7.04,High,231.09,High,rice,,,,,,,,,,,,
85,High,38,Medium,41,Medium,21.59,Low,82.79,Medium,6.25,Medium,276.66,High,rice,,,,,,,,,,,,
91,High,35,Medium,39,Medium,23.79,Medium,80.42,Medium,6.97,High,206.26,High,rice,,,,,,,,,,,,
77,High,38,Medium,36,Medium,21.87,Low,80.19,Medium,5.95,Low,224.56,High,rice,,,,,,,,,,,,
88,High,35,Medium,40,Medium,23.58,Medium,83.59,Medium,5.85,Low,291.30,High,rice,,,,,,,,,,,,
89,High,45,Medium,36,Medium,21.33,Low,80.47,Medium,6.44,Medium,185.50,High,rice,,,,,,,,,,,,
76,High,40,Medium,43,Medium,25.16,Medium,83.12,Medium,5.07,Low,231.38,High,rice,,,,,,,,,,,,
